id,SMILES1,SMILES2,result
0,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,O=C(O)C=CC(=O)O,1
1,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,O=C(O)CC(=O)O,0
2,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,O=C(O)CCC(=O)O,1
3,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,O=C(O)CC(O)C(=O)O,1
4,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,O=C(O)C(O)C(O)C(=O)O,1
5,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,O=C(O)CCCCC(=O)O,0
6,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,O=C(O)CCCC(=O)O,0
7,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Oc1cc(O)cc(O)c1,1
8,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Oc1cccc(O)c1,1
9,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Cc1cc(O)cc(O)c1,1
10,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Oc1ccc(O)cc1,1
11,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Oc1cccc(O)c1O,1
12,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Oc1ccccc1O,1
13,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,COc1cc(C=CC(=O)O)ccc1O,0
14,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,NC(N)=O,0
15,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,O=C(O)c1ccccc1O,0
16,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Nc1ncnc2nc[nH]c12,0
17,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,NC(=O)CCC(N)C(=O)O,0
18,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Cc1c[nH]c(=O)[nH]c1=O,0
19,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,NC(=O)c1ccncc1,0
20,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,O=C(O)c1cccnc1,0
21,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,O=C(O)c1ccccc1,0
22,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CC(O)C(N)C(=O)O,0
23,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Nc1ccnc(=O)[nH]1,0
24,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,NC(=O)c1cccnc1,0
25,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,O=C(O)C1CCCN1,0
26,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,NCCCCC(N)C(=O)O,0
27,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,NC(Cc1cnc[nH]1)C(=O)O,0
28,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CC(N)=O,0
29,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)c1cc(O)c(O)c(O)c1,0
30,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Nc1ccnc(=O)[nH]1,1
31,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NC(N)=O,1
32,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,CC(=O)Oc1ccccc1C(=O)O,0
33,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1
34,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)c1ccccc1O,0
35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Nc1ccc(C(=O)O)cc1,1
36,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)C=CC(=O)O,0
37,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NC(CC(=O)O)C(=O)O,0
38,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)C(O)C(O)C(=O)O,0
39,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,CC(N)=O,1
40,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C1NS(=O)(=O)c2ccccc21,0
41,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Nc1ncnc2nc[nH]c12,1
42,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)CCC(=O)O,0
43,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NC(CCC(=O)O)C(=O)O,0
44,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)CC(O)(CC(=O)O)C(=O)O,0
45,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NC(=O)c1cccnc1,1
46,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NC(=O)c1ccccc1,0
47,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NC(=O)CCC(N)C(=O)O,0
48,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)c1cccnc1,0
49,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)CCCCC(=O)O,0
50,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NC(=O)c1ccc(O)cc1,0
51,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,CC(C)CC(N)C(=O)O,0
52,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NC(Cc1ccccc1)C(=O)O,0
53,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C(O)c1ccccc1,0
54,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,O=C1OC(C(O)CO)C(O)=C1O,0
55,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NC(=O)c1ccncc1,1
56,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,Oc1ccc(-c2ccc(O)cc2)cc1,0
57,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,c1ccc(-c2ccncc2)cc1,0
58,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,Oc1cc(O)cc(O)c1,0
59,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CCCCCCCCCCCCCCCCO,0
